House_Size,Rooms,Age,Distance_to_City,Price
1458.4611783987043,4.0,21.0,26.2,626313.81
1168.735870296679,3.0,21.0,14.2,349283.03
2394.24853217929,2.0,22.0,24.5,733536.63
2409.482199931321,4.0,21.0,6.4,694178.17
1406.5722817637816,5.0,13.0,29.5,719649.46
2145.3664725575322,5.0,22.0,4.4,640924.62
1385.9156769517704,3.0,19.0,12.1,350658.08
1938.1464631079386,3.0,17.0,11.2,530881.87
1767.230040482611,4.0,16.0,20.3,668070.38
1945.4561461497997,3.0,14.0,10.4,496423.82
1774.5947786519632,3.0,27.0,7.8,452374.12
1563.1151246626323,3.0,20.0,6.6,297393.79
1600.4118792604468,4.0,22.0,8.7,423921.69
2136.2197779583007,4.0,26.0,17.5,690345.95
1793.3184631767485,4.0,20.0,13.9,601633.96
1209.3120906471306,4.0,17.0,5.3,288930.34
1520.009151891998,4.0,8.0,17.2,534760.88
1797.1495055076157,4.0,34.0,14.5,587522.46
2111.9833739852647,5.0,25.0,16.5,732320.15
2028.0802014064566,4.0,25.0,4.4,555267.65
1493.2127575752338,4.0,15.0,15.0,515781.85
1534.6690366626465,5.0,32.0,16.1,628012.4
2329.6802740532303,6.0,28.0,17.1,951801.92
975.915586398137,3.0,30.0,7.7,183754.58
1889.098832544322,3.0,21.0,13.5,516455.06
1338.012523093083,4.0,20.0,16.0,475810.33
2749.559340240212,3.0,23.0,14.5,744121.84
2152.234107119707,5.0,12.0,21.3,836487.34
1685.5381528826258,4.0,33.0,19.5,593581.86
1503.5064012378646,5.0,16.0,5.3,455861.7
1744.4217025263374,5.0,22.0,15.4,676947.84
1841.616590904033,4.0,27.0,15.9,644803.63
1271.859454269133,4.0,27.0,6.0,290167.76
1789.4024169432355,3.0,6.0,23.8,584270.04
1547.7892897370957,3.0,15.0,8.6,386489.23
2190.273621408477,4.0,32.0,4.9,589005.08
1326.8294166232586,4.0,16.0,16.0,418172.22
1901.8274263616631,3.0,33.0,9.2,449638.29
1865.586979190418,5.0,4.0,13.2,662309.33
2366.7131188659177,4.0,19.0,10.7,688746.49
2440.912487026638,4.0,22.0,19.8,873493.47
1354.4937353110927,2.0,23.0,20.0,408891.17
2240.2195764178214,2.0,13.0,18.5,607023.52
1793.487148623013,3.0,23.0,21.4,597962.55
1997.1435026990753,5.0,20.0,11.5,641283.49
2189.209998341501,2.0,24.0,16.6,581245.49
1677.4290874518995,5.0,21.0,30.0,813840.54
1699.7919267208972,3.0,23.0,10.8,462864.96
1891.5647452902263,4.0,20.0,18.7,639970.06
1878.5547316062516,4.0,13.0,10.4,577067.99
1814.6651198835077,4.0,23.0,20.1,684774.92
1712.1235296084435,5.0,26.0,9.0,628034.81
1562.5019185677804,4.0,33.0,25.0,606314.97
2110.1967966538177,3.0,23.0,0.5,468226.59
1910.3441916112388,3.0,26.0,13.0,555808.7
1763.5569159623794,4.0,17.0,16.6,578574.9
3000.0,4.0,25.0,20.4,999346.18
2189.939366200836,4.0,15.0,19.3,765829.23
2431.6329243585997,2.0,16.0,19.8,682517.05
1706.6904396924642,5.0,16.0,15.0,664905.17
2180.166370101338,3.0,14.0,10.3,568357.36
1879.0158985402088,4.0,14.0,10.7,509152.72
1588.5140003377032,3.0,40.0,20.0,511834.15
1683.6364912935906,5.0,36.0,19.6,726676.09
1605.5254006075431,4.0,25.0,14.9,506551.84
2259.363942922738,4.0,19.0,8.9,620139.51
1112.6449388357623,5.0,21.0,22.9,543433.55
1535.6271530816937,3.0,16.0,10.4,380777.7
1146.260209062234,5.0,22.0,14.9,488358.01
1895.193849853633,3.0,16.0,15.7,566297.92
1870.688389220282,4.0,20.0,21.9,699957.84
2167.8355373961076,3.0,21.0,12.9,591323.69
2337.0066420395196,3.0,27.0,5.4,516938.98
1178.6795692221795,3.0,35.0,9.6,248935.57
1416.922372499846,2.0,16.0,5.7,212473.3
1314.066687615472,2.0,29.0,1.6,136819.88
1520.3403522680742,4.0,5.0,18.8,510892.79
2016.7241763678996,4.0,12.0,11.9,635749.73
1789.4085694397736,3.0,22.0,15.8,552865.09
2240.4113066969003,4.0,13.0,8.8,652602.92
1399.6194169399664,4.0,27.0,13.5,457562.61
2376.801591646255,3.0,20.0,19.0,685519.44
1807.5434631767082,5.0,17.0,7.3,552298.09
1627.0143990224992,3.0,15.0,5.0,353842.11
1553.9689683235006,3.0,19.0,18.3,450109.84
2513.4905525129707,4.0,19.0,20.5,877374.05
1898.0446859433926,4.0,15.0,9.5,522137.05
1834.7143670215223,3.0,29.0,9.6,424591.17
1228.8989604935855,5.0,28.0,17.1,573902.95
1099.807738648536,2.0,22.0,10.4,144270.23
2375.757901264782,3.0,8.0,18.8,726315.93
1809.7277734827276,3.0,22.0,11.4,465689.27
1736.809415435346,5.0,7.0,21.1,693444.43
1422.9385173085896,4.0,13.0,5.3,327773.23
1391.0693942530966,3.0,7.0,7.2,340883.34
1923.3380062753283,4.0,16.0,9.6,592230.77
2192.5264977079805,4.0,24.0,10.7,651482.28
1850.6203437325646,2.0,22.0,16.1,460019.49
1896.5004858316538,4.0,22.0,28.4,795764.88
1860.4713133346334,4.0,21.0,12.9,538530.78
1181.1143242413964,4.0,37.0,10.9,402875.16
1791.8120895198242,3.0,21.0,16.7,528268.63
1393.8709330527133,4.0,29.0,16.5,447116.61
2103.911989937092,3.0,14.0,6.4,518192.17
1155.5876846693563,1.0,17.0,18.3,240589.89
2210.5289629381687,4.0,23.0,20.0,795728.47
2608.195061097664,1.0,28.0,12.9,541670.14
1909.233008387304,4.0,20.0,16.3,605685.64
2468.7952822737443,3.0,37.0,14.9,710476.5
1722.7607962632617,5.0,18.0,14.5,647303.65
1400.431376763087,5.0,25.0,17.8,580730.34
1590.987431368077,4.0,24.0,23.2,640939.76
1805.141897379995,4.0,14.0,6.9,471238.61
1816.368322916209,3.0,23.0,12.8,489336.49
1981.8697801902958,3.0,14.0,18.9,643971.01
1909.7715024446522,3.0,20.0,8.8,501741.18
2010.383687817965,3.0,1.0,12.5,514654.28
2103.6528589344184,4.0,27.0,17.5,703136.15
2384.6043262653448,3.0,21.0,17.0,679822.82
1696.0107839987218,3.0,25.0,20.3,574158.45
2024.5058954953142,3.0,29.0,7.5,465734.7
2034.773185263148,5.0,29.0,6.9,623860.65
1969.3108758494513,4.0,19.0,13.3,640850.55
2007.4941800181984,4.0,23.0,16.4,649394.96
1810.4256021522128,3.0,27.0,10.9,421787.76
1870.9010758862726,2.0,11.0,20.0,505886.59
1952.0567686608629,2.0,20.0,15.0,479833.19
1679.4327912240706,5.0,18.0,4.8,538617.5
1673.317291466502,3.0,16.0,0.0,298597.9
2018.4246158910137,2.0,30.0,17.9,544247.28
1805.7042463316197,4.0,31.0,9.9,580167.85
2170.4643339914037,6.0,15.0,11.8,792702.84
1505.3331711337773,4.0,36.0,15.0,480407.28
2032.4202515252382,3.0,23.0,27.3,737141.29
1232.4570681692912,6.0,1.0,3.9,440536.59
1757.323470945087,3.0,17.0,19.5,497888.21
1859.5854536927604,3.0,16.0,7.9,443241.15
1660.3719707903567,5.0,25.0,15.1,694251.72
1639.3329343563382,4.0,26.0,20.7,604627.79
745.8495518512676,5.0,20.0,18.7,422827.23
1768.2767769932514,3.0,29.0,24.3,613363.97
2025.0568299624044,3.0,20.0,18.3,642473.79
2234.1722264879713,3.0,20.0,18.2,667098.06
2077.7165548420026,3.0,14.0,17.4,612350.97
2376.389714564162,4.0,18.0,14.2,783883.91
1476.0365117159595,5.0,24.0,6.3,463904.34
